"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"a_x_111_01_001","111.01.001","UANG KAS","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_01_001","112.01.001","BANK BPRKS","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_01_002","112.01.002","BANK BPRKS 3000675678","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_01_003","112.01.003","BANK BPRKS 3001025607","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_01_004","112.01.004","BANK BPRKS 3001284613  ","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_01_005","112.01.005","BANK BJB 1100000888001","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_01_006","112.01.006","BANK JAMBI 3002115785","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_02_001","112.02.001","BANK EKONOMI","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_03_001","112.03.001","BANK MANDIRI","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_03_002","112.03.002","BANK MANDIRI USD","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_04_001","112.04.001","BANK BNI","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_05_001","112.05.001","BANK MANTAP","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_06_001","112.06.001","BANK JATIM","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_112_07_001","112.07.001","BANK WOORI SAUDARA","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_113_01_001","113.01.001","DEPOSITO BERJANGKA BANK MANDIRI","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_113_02_001","113.02.001","DEPOSITO BERJANGKA BANK EKONOMI","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_113_03_001","113.03.001","DEPOSITO BERJANGKA BANK BPRKS","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_113_04_001","113.04.001","DEPOSITO BERJANGKA BANK BWS","l10n_id_mpn_chart.data_account_type_kas_dan_setara_kas",TRUE,"l10n_id_mpn_chart"
"a_x_121_01_001","121.01.001","PIUTANG USAHA","l10n_id_mpn_chart.data_account_type_piutang_usaha",TRUE,"l10n_id_mpn_chart"
"a_x_121_01_002","121.01.002","PIUTANG SET UP FEE NSICCS","l10n_id_mpn_chart.data_account_type_piutang_usaha",TRUE,"l10n_id_mpn_chart"
"a_x_121_01_003","121.01.003","PIUTANG KARYAWAN","l10n_id_mpn_chart.data_account_type_piutang_lain",TRUE,"l10n_id_mpn_chart"
"a_x_121_01_004","121.01.004","PIUTANG UNBILL","l10n_id_mpn_chart.data_account_type_piutang_lain",TRUE,"l10n_id_mpn_chart"
"a_x_121_01_005","121.01.005","PIUTANG TMD","l10n_id_mpn_chart.data_account_type_piutang_lain",TRUE,"l10n_id_mpn_chart"
"a_x_121_01_006","121.01.006","PIUTANG SDR","l10n_id_mpn_chart.data_account_type_piutang_lain",TRUE,"l10n_id_mpn_chart"
"a_x_122_01_001","122.01.001","PIUTANG USAHA PT BANK HARDA INTERNASIONAL","l10n_id_mpn_chart.data_account_type_piutang_usaha",TRUE,"l10n_id_mpn_chart"
"a_x_122_01_002","122.01.002","PIUTANG USAHA PT BANK INDEX SELINDO","l10n_id_mpn_chart.data_account_type_piutang_usaha",TRUE,"l10n_id_mpn_chart"
"a_x_122_01_003","122.01.003","PIUTANG USAHA PT BANK MASPION","l10n_id_mpn_chart.data_account_type_piutang_usaha",TRUE,"l10n_id_mpn_chart"
"a_x_122_01_004","122.01.004","PIUTANG USAHA PT BANK SAHABAT SAMPOERNA","l10n_id_mpn_chart.data_account_type_piutang_usaha",TRUE,"l10n_id_mpn_chart"
"a_x_122_01_005","122.01.005","PIUTANG USAHA PT BPD JAMBI","l10n_id_mpn_chart.data_account_type_piutang_usaha",TRUE,"l10n_id_mpn_chart"
