"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"a_x_111.01.001","111.01.001","UANG KAS","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.01.001","112.01.001","BANK BPRKS","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.01.002","112.01.002","BANK BPRKS 3000675678","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.01.003","112.01.003","BANK BPRKS 3001025607","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.01.004","112.01.004","BANK BPRKS 3001284613  ","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.01.005","112.01.005","BANK BJB 1100000888001","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.01.006","112.01.006","BANK JAMBI 3002115785","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.02.001","112.02.001","BANK EKONOMI","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.03.001","112.03.001","BANK MANDIRI","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.03.002","112.03.002","BANK MANDIRI USD","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.04.001","112.04.001","BANK BNI","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.05.001","112.05.001","BANK MANTAP","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.06.001","112.06.001","BANK JATIM","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_112.07.001","112.07.001","BANK WOORI SAUDARA","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_113.01.001","113.01.001","DEPOSITO BERJANGKA BANK MANDIRI","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_113.02.001","113.02.001","DEPOSITO BERJANGKA BANK EKONOMI","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_113.03.001","113.03.001","DEPOSITO BERJANGKA BANK BPRKS","account.data_account_type_liquidity",TRUE,"l10n_id_mpn_chart"
"a_x_121.01.001","121.01.001","PIUTANG USAHA","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_121.01.002","121.01.002","PIUTANG SET UP FEE NSICCS","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_121.01.003","121.01.003","PIUTANG KARYAWAN","account.data_account_type_current_assets",TRUE,"l10n_id_mpn_chart"
"a_x_121.01.004","121.01.004","PIUTANG UNBILL","account.data_account_type_current_assets",TRUE,"l10n_id_mpn_chart"
"a_x_121.01.005","121.01.005","PIUTANG TMD","account.data_account_type_current_assets",TRUE,"l10n_id_mpn_chart"
"a_x_121.01.006","121.01.006","PIUTANG SDR","account.data_account_type_current_assets",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.xxx","122.01.xxx","AKUN PIUTANG SEMENTARA","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.001","122.01.001","PIUTANG USAHA PT BANK HARDA INTERNASIONAL","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.002","122.01.002","PIUTANG USAHA PT BANK INDEX SELINDO","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.003","122.01.003","PIUTANG USAHA PT BANK MASPION","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.004","122.01.004","PIUTANG USAHA PT BANK SAHABAT SAMPOERNA","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.005","122.01.005","PIUTANG USAHA PT BPD JAMBI","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.006","122.01.006","PIUTANG USAHA PT BPD KALTIM","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.007","122.01.007","PIUTANG USAHA PT BPR KARYAJATNIKA SADAYA","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.008","122.01.008","PIUTANG USAHA PT FORTRESS DATA SERVICES","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.009","122.01.009","PIUTANG USAHA PT MANDIRI TASPEN","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.010","122.01.010","PIUTANG USAHA PT MNC LIFE ASSURANCE","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.011","122.01.011","PIUTANG USAHA PT SARANA PACTINDO","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.012","122.01.012","PIUTANG USAHA PT SIGMA CIPTA CARAKA","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.013","122.01.013","PIUTANG USAHA PT SISNET MITRA SEJAHTERA","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.014","122.01.014","PIUTANG USAHA PT SMARTWEB INDONESIA KREASI","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.015","122.01.015","PIUTANG USAHA PT TRAVES MITRA TEKNOLOGI","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.016","122.01.016","PIUTANG USAHA PT BCAS","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.017","122.01.017","PIUTANG USAHA PT INDOPORTAL","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.018","122.01.018","PIUTANG USAHA PT ACS","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.019","122.01.019","PIUTANG USAHA PT. BANK CCBI","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.020","122.01.020","PIUTANG USAHA PT. SARANA DIGITAL RITEL","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_122.01.021","122.01.021","PIUTANG USAHA PT. BPR SUPRA","account.data_account_type_receivable",TRUE,"l10n_id_mpn_chart"
"a_x_129.99.999","129.99.999","PIUTANG LAIN","account.data_account_type_current_assets",TRUE,"l10n_id_mpn_chart"
